"",Location,Patron Type,Item Type,Age Range,Rule Number,Active,Editable By
228,belfj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
229,bglfj,"1-5,10,13,17-21",9999,,7,Y,ALL
230,bglfj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
231,bmlfj,"1-5,10,13,17-21",9999,,7,Y,ALL
232,bmlfj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
233,bblpa,"1-3,5,10,13,17-21",9999,,6,Y,ADMIN
234,bblpa,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ADMIN
235,belpa,"1-3,5,10,13,17-21",9999,,6,Y,ALL
236,belpa,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
237,bglpa,"1-3,5,10,13,17-21",9999,,6,Y,ALL
238,bglpa,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
239,bmlpa,"1-3,5,10,13,17-21",9999,,6,Y,ALL
240,bmlpa,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
241,bnlpa,"1-3,5,10,13,17-21",9999,,6,Y,ADMIN
242,bnlpa,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ADMIN
243,belpj,"1-5,10,13,17-21",9999,,7,Y,ALL
244,belpj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
245,bglpj,"1-5,10,13,17-21",9999,,7,Y,ALL
246,bglpj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
247,bmlpj,"1-5,10,13,17-21",9999,,7,Y,ALL
248,bmlpj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
249,bemca,"1-3,5,10,13,17-21",9999,,6,Y,ALL
250,bemca,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
251,bgmca,"1-3,5,10,13,17-21",9999,,6,Y,ALL
252,bgmca,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
253,bmmca,"1-3,5,10,13,17-21",9999,,6,Y,ALL
254,bmmca,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
