"",Name,Code,Normal Loan Period,Holdable,Bookable,Home Pickup,Shippable,Ship Time,Time Remaining B4 Renew,First Renewal Period,Additional Renewal Period,Max Number Of Renewals,Max Number Of Auto Renewals,Minimum Use,Eligib To Recall,Time Return Recall,Time To Pickup,Max Number Of Odues,Time First Odue,Time Second Odue,Time Third Odue,Time Fourth Odue,Time Fifth Odue,Time Sixth Odue,Text First Odue,Text Second Odue,Text Third Odue,Text Fourth Odue,Text Fifth Odue,Odue Penalty,Text First OdueR,Text Second OdueR,Text Third OdueR,Text Fourth OdueR,Text Fifth OdueR,Courtesy Notice Text Number,Number Of Days Before Odue,Additional Courtesy Notice,Additional Courtesy Notice Text,Time 1ST Odue Recall,Text Recall Notice,Text Pickup Notice,Text Cancel Pickup,Grace Period For Fines,Number Of D/HR 1st F Per,Amount Of Fine 1st F Per,Number Of D/HR 2nd F Per,Amount Of Fine 2ND F Per,Limit Fine To Price,Default Item Cost,Replace Process Fee,Replace Bll Service Charge,Rental Fee,Fine Incr If Recall,Msg Fines,Msg Bill,Msg Adjustment,Rental Circtext,Penalty Incr If Recall,Editable By
90,lsv equipment,R,21,y,n,y,n,0,21,21,21,2,2,21,999,0,7,3,7,7,16,0,0,0,11,12,13,0,0,0,0,0,0,0,0,40,3,0,0,0,0,41,0,0,20,$1.00,0,$0.00,n,$20.00,$6.00,$0.00,$0.00,$0.00,20,13,15,0,0,ADMIN
91,mde dvd 7 days,R,7,y,n,n,n,0,6,7,7,2,2,7,999,0,7,4,7,7,7,9,0,0,21,22,46,0,0,0,0,0,0,0,0,42,3,0,0,0,0,45,0,0,20,$0.00,0,$0.00,n,$50.00,$5.00,$0.00,$0.00,$0.00,30,23,25,0,0,ALL
92,mde staff non-circ,N,1,n,n,n,n,0,0,0,0,0,0,1,999,0,0,4,7,7,7,9,0,0,21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,$0.00,0,$0.00,n,$50.00,$0.00,$0.00,$0.00,$0.00,30,23,25,0,0,ALL
93,mde staff vid 7 days,R,7,y,n,n,n,0,7,7,7,2,2,7,999,0,7,4,7,7,7,9,0,0,21,22,46,0,0,0,0,0,0,0,0,42,3,0,0,0,0,45,0,0,10,$0.00,0,$0.00,n,$50.00,$0.00,$0.00,$0.00,$0.00,30,23,25,0,0,ALL
94,mde staff 7 days,R,7,y,n,n,n,0,6,7,7,2,2,7,999,0,7,4,7,7,7,9,0,0,21,22,46,0,0,0,0,0,0,0,0,42,3,0,0,0,0,45,0,0,100,$0.00,0,$0.00,n,$50.00,$0.00,$0.00,$0.00,$0.00,30,23,25,0,0,ALL
95,mde staff 21 days,R,21,y,n,n,n,0,20,21,21,2,2,21,999,0,7,4,7,7,7,9,0,0,21,22,46,0,0,0,0,0,0,0,0,42,3,0,0,0,0,45,0,0,100,$0.00,0,$0.00,n,$50.00,$0.00,$0.00,$0.00,$0.00,30,23,25,0,0,ALL
96,mde staff 14 days,R,14,y,n,n,n,0,13,14,14,2,2,14,999,0,7,4,7,7,7,9,0,0,21,22,46,0,0,0,0,0,0,0,0,42,3,0,0,0,0,45,0,0,100,$0.00,0,$0.00,n,$50.00,$0.00,$0.00,$0.00,$0.00,30,23,25,0,0,ALL
97,MDE staff ILL,R,21,n,n,n,n,0,0,0,0,0,0,21,999,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,ALL
98,mde staff per 7 days,R,7,n,n,n,n,0,6,7,7,2,2,7,0,0,0,4,7,7,7,9,0,0,21,22,0,0,0,0,0,0,0,0,0,42,3,0,0,0,0,0,0,0,10,$0.00,0,$0.00,n,$10.00,$0.00,$0.00,$0.00,$0.00,30,23,25,0,0,ALL
99,mde staff dvd 7days,R,7,y,n,n,n,0,6,7,7,2,2,7,999,0,7,4,7,7,7,9,0,0,21,22,46,0,0,0,0,0,0,0,0,42,3,0,0,0,0,45,0,0,10,$0.00,0,$0.00,n,$50.00,$0.00,$0.00,$0.00,$0.00,30,23,25,0,0,ALL
